text,conf,x,y,w,h
Public Square,95,1159,156,258,40
Sage,36,1006,416,83,36
aah Portico Lobb piu Shop;,96,1220,441,273,366
Cy,88,1077,447,33,28
of,85,1335,523,68,38
Kye,65,1918,629,61,31
wee Pros; Streets Shops,91,1437,678,261,421
af,89,1229,697,33,26
ath,50,1068,698,58,77
wiby amp up Orta,94,1613,704,107,230
hop,96,1381,752,52,42
Smith,43,1067,771,65,77
to Prospect,95,770,910,151,52
Ramp,95,657,914,151,44
Ramp,96,658,914,65,39
Ave.% eDe oe,85,933,916,104,162
ts,88,1668,917,24,32
lil Hel Traction Lif reel Room Room,96,1541,1044,276,586
Ticket Lobby,96,1269,1082,109,99
"Spade""",61,1856,1131,173,67
Selle icket Passage,96,1160,1154,131,223
Spa,95,1856,1155,63,42
Shop,95,1754,1156,74,41
Traction West’,93,930,1178,144,219
Cab,95,394,1224,63,31
Stand,95,498,1224,99,29
IF,74,1136,1227,27,17
ake wees East,91,1434,1301,261,116
jie,66,1338,1313,36,20
oor,41,1293,1329,71,44
de,75,1149,1346,57,35
Dining,88,1800,1353,102,38
drive ge,95,74,1362,75,137
Cab,86,12,1378,66,39
drive,42,142,1431,71,39
iat,43,2268,1456,76,82
driveway,95,218,1470,141,41
ees Kitchen,96,1862,1480,113,65
ounter padadad,88,931,1501,100,66
unch,87,1710,1512,75,36
UT Pas Facilitie: Cia Truckin Mail lities,96,2053,1558,258,450
ooda Ba,96,235,1605,371,158
Express,96,2159,1629,125,39
iting Room,96,1060,1632,96,130
Baggage,96,220,1634,136,42
Mechanical,91,1822,1638,180,63
Psteam,69,1167,1653,123,83
Equipment,96,1818,1686,171,55
rse,86,1401,1704,50,22
Room,96,688,1731,84,31
age,85,584,1741,61,33
"ns,",89,1687,1774,39,23
Drive,97,2390,1783,84,54
cilet,41,1721,1787,66,33
Barber,94,1543,1817,104,31
nae,30,1783,1906,62,12
Facilities cde,96,2160,1949,150,78
ewe,41,2268,1964,70,16
Passage,96,1398,2061,141,40
Trucking,96,1118,2063,155,40
