text,conf,x,y,w,h
THE,96,532,21,54,23
WHITE,96,597,21,89,24
House First FLoor,92,672,21,171,66
WEST WING,96,798,21,163,24
STAFF OFFICES,96,566,175,113,57
Press,90,541,176,65,20
Press Corps OFFICES,95,1111,191,143,57
Press BRIEFING Room,96,733,210,252,20
LoBBy ENTRANCE,96,208,222,115,77
PALM Room,96,1343,234,67,55
Misc. OFFICES,96,60,321,88,56
PRESS SEC'Y,95,432,327,64,61
Misc. OFFICES,96,305,333,88,56
WEsT COLONNADE,96,931,343,207,21
CABINET,92,592,372,95,21
WOOY,83,606,462,67,20
LoBBY,74,227,469,74,19
To,96,1205,484,31,20
RESIDENCE,94,1295,484,118,20
THE,96,1246,490,39,14
VICE PRESIDENT,96,63,537,70,90
ROOSEVELT Room,96,368,574,123,56
PRESIDENT'S SEc'y,92,605,578,56,73
Misc. OFFICES,96,221,585,89,57
ROsE GARDEN,96,919,628,157,20
CHIEF OF STAFF,96,67,722,65,93
OVAL OFFICE,96,594,723,76,56
Misc. OFFICES,96,208,777,162,21
Dininc Room,92,429,777,54,39
Stupy,90,493,801,49,14
